0 1 2
0 1 3
0 1 4
0 1 24
0 1 27
0 1 44
0 1 47
0 1 144
0 1 147
0 1 167
0 1 168
0 1 265
0 1 286
0 2 4
0 2 24
0 2 47
0 2 145
0 2 148
0 2 168
0 3 4
0 3 24
0 3 27
0 3 47
0 3 148
0 3 168
0 3 264
0 4 24
0 4 27
0 4 147
0 24 145
0 24 147
0 27 144
0 27 147
0 27 148
0 27 191
0 44 164
0 47 167
0 168 288
