0 1 2
0 2 2
0 3 3
0 0 4
0 1 5
0 3 6
0 2 7
0 0 0
0 1 7
0 7 7
0 0 8
0 4 8
0 5 7
1 2 3
1 2 4
1 3 7
1 4 7
1 1 6
1 1 8
2 2 3
2 4 7
2 4 5
2 6 7
2 2 6
2 7 8
2 5 8
3 4 6
3 5 7
3 7 7
4 4 4
4 5 7
0 5 5
5 7 8
5 6 7
5 5 6
6 6 8
7 7 8
8 8 8
